HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.012,,0.081
5GNSA_5GChange,0.012,,0.067
5GNSA_4GChange,0.022,0.04,0.062
5GNSA_5GChange,0.014,,0.081
5GNSA_5GChange,0.011,,0.071
5GNSA_4GChange,0.02,0.031,0.065
5GNSA_5GChange,0.012,,0.082
5GNSA_5GChange,0.022,,0.082
5GNSA_5GChange,0.012,,0.072
5GNSA_4GChange,0.021,0.033,0.094
5GNSA_5GChange,0.012,,0.081
5GNSA_4GChange,0.021,0.032,0.061
5GNSA_4GChange,0.021,0.035,0.073
5GNSA_5GChange,0.013,,0.065
5GNSA_4GChange,0.018,0.028,0.056
5GNSA_5GChange,0.012,,0.062
5GNSA_4GChange,0.018,0.036,0.074
5GNSA_4GChange,0.025,0.042,0.063
5GNSA_4GChange,0.023,0.038,0.066
5GNSA_5GChange,0.012,,0.079
5GNSA_4GChange,0.02,0.031,0.069
5GNSA_4GChange,0.019,0.034,0.069
5GNSA_5GChange,0.022,,0.087
5GNSA_5GChange,0.011,,0.08
5GNSA_4GChange,0.019,0.031,0.062
5GNSA_4GChange,0.021,0.032,0.06
5GNSA_5GChange,0.011,,0.08
5GNSA_4GChange,0.019,0.031,0.068
5GNSA_5GChange,0.014,,0.082
5GNSA_5GChange,0.012,,0.078
5GNSA_4GChange,0.019,0.033,0.071
5GNSA_5GChange,0.013,,0.081
5GNSA_5GChange,0.012,,0.064
5GNSA_5GChange,0.022,,0.091
5GNSA_5GChange,0.022,,0.094
5GNSA_5GChange,0.012,,0.071
5GNSA_5GChange,0.013,,0.077
5GNSA_5GChange,0.011,,0.079
5GNSA_5GChange,0.011,,0.089
5GNSA_5GChange,0.012,,0.074
5GNSA_4GChange,0.025,0.041,0.071
5GNSA_4GChange,0.018,0.033,0.059
5GNSA_4GChange,0.021,0.034,0.063
5GNSA_5GChange,0.013,,0.076
5GNSA_4GChange,0.02,0.03,0.074
5GNSA_5GChange,0.013,,0.079
5GNSA_4GChange,0.019,0.038,0.063
5GNSA_5GChange,0.012,,0.069
5GNSA_4GChange,0.018,0.033,0.066
5GNSA_5GChange,0.013,,0.079
4G_4G,0.035,0.046,0.083
5GNSA_5GChange,0.011,,0.068
5GNSA_5GChange,0.01,,0.076
5GNSA_5GChange,0.013,,0.073
5GNSA_4GChange,0.018,0.036,0.064
5GNSA_5GChange,0.011,,0.064
5GNSA_5GChange,0.012,,0.082
5GNSA_4GChange,0.019,0.028,0.067
5GNSA_4GChange,0.021,0.03,0.076
5GNSA_5GChange,0.012,,0.072
5GNSA_5GChange,0.013,,0.101
5GNSA_5GChange,0.011,,0.074
5GNSA_5GChange,0.013,,0.083
5GNSA_5GChange,0.012,,0.083
5GNSA_4GChange,0.018,0.027,0.076
5GNSA_4GChange,0.021,0.04,0.061
5GNSA_5GChange,0.012,,0.081
5GNSA_4GChange,0.02,0.032,0.07
5GNSA_4GChange,0.02,0.032,0.057
5GNSA_5GChange,0.012,,0.085
5GNSA_5GChange,0.012,,0.064
5GNSA_5GChange,0.01,,0.066
5GNSA_4GChange,0.025,0.038,0.069
5GNSA_5GChange,0.012,,0.079
5GNSA_5GChange,0.012,,0.068
5GNSA_5GChange,0.014,,0.088
5GNSA_5GChange,0.012,,0.072
5GNSA_4GChange,0.021,0.036,0.06
5GNSA_4GChange,0.02,0.039,0.057
5GNSA_4GChange,0.022,0.035,0.063
5GNSA_4GChange,0.021,0.036,0.064
5GNSA_5GChange,0.013,,0.07
5GNSA_4GChange,0.019,0.029,0.067
5GNSA_5GChange,0.011,,0.07
5GNSA_4GChange,0.02,0.031,0.059
5GNSA_5GChange,0.012,,0.069
5GNSA_4GChange,0.019,0.037,0.075
5GNSA_4GChange,0.018,0.034,0.055
5GNSA_5GChange,0.011,,0.068
5GNSA_4GChange,0.018,0.033,0.061
5GNSA_5GChange,0.013,,0.081
5GNSA_4GChange,0.02,0.031,0.069
5GNSA_4GChange,0.021,0.032,0.073
5GNSA_5GChange,0.015,,0.083
5GNSA_5GChange,0.012,,0.077
5GNSA_5GChange,0.013,,0.076
5GNSA_5GChange,0.011,,0.074
5GNSA_5GChange,0.011,,0.102
5GNSA_4GChange,0.018,0.032,0.071
5GNSA_4GChange,0.02,0.03,0.062
5GNSA_4GChange,0.018,0.036,0.065
5GNSA_5GChange,0.013,,0.08
5GNSA_4GChange,0.021,0.034,0.092
5GNSA_5GChange,0.013,,0.081
5GNSA_5GChange,0.013,,0.083
5GNSA_5GChange,0.012,,0.103
5GNSA_5GChange,0.014,,0.082
5GNSA_4GChange,0.019,0.031,0.057
5GNSA_5GChange,0.011,,0.071
5GNSA_5GChange,0.011,,0.064
5GNSA_4GChange,0.015,0.033,0.062
5GNSA_5GChange,0.013,,0.068
5GNSA_5GChange,0.011,,0.066
5GNSA_5GChange,0.013,,0.083
5GNSA_4GChange,0.019,0.033,0.076
5GNSA_5GChange,0.011,,0.065
5GNSA_5GChange,0.015,,0.085
5GNSA_5GChange,0.015,,0.083
5GNSA_4GChange,0.019,0.03,0.066
5GNSA_4GChange,0.02,0.035,0.074
5GNSA_5GChange,0.012,,0.079
5GNSA_4GChange,0.019,0.03,0.101
5GNSA_5GChange,0.013,,0.081
5GNSA_4GChange,0.017,0.034,0.055
5GNSA_5GChange,0.011,,0.068
5GNSA_5GChange,0.012,,0.076
5GNSA_5GChange,0.012,,0.069
5GNSA_5GChange,0.011,,0.073
5GNSA_5GChange,0.022,,0.074
5GNSA_5GChange,0.014,,0.068
5GNSA_4GChange,0.023,0.034,0.079
5GNSA_5GChange,0.023,,0.081
5GNSA_4GChange,0.02,0.033,0.061
5GNSA_4GChange,0.038,0.05,0.068
5GNSA_5GChange,0.013,,0.069
