HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.044
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.079
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.038
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.079
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.044
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.038
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.043
5GSA_5GSA,,,0.037
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.04
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.041
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.044
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.038
5GSA_5GSA,,,0.039
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.042
5GSA_5GSA,,,0.043
