,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,5GNSA_4GChange,0.039,0.058,0.224
1,5GNSA_5GChange,0.013,,0.103
2,5GNSA_5GChange,0.018,,0.079
3,5GNSA_4GChange,0.046,0.064,0.137
4,5GNSA_4G5GChange,0.039,0.053,0.119
5,5GNSA_5GChange,0.019,,0.219
6,5GNSA_5GChange,0.011,,0.067
7,5GNSA_5GChange,0.019,,0.143
8,5GNSA_4GChange,0.046,0.065,0.113
9,5GNSA_5GChange,0.015,,0.071
10,5GNSA_4GChange,0.041,0.06,0.139
11,5GNSA_4G5GChange,0.041,0.05,0.196
12,5GNSA_4GChange,0.043,0.058,0.094
13,5GNSA_4GChange,0.027,0.046,0.102
14,5GNSA_5GChange,0.021,,0.162
15,5GNSA_4GChange,0.039,0.051,0.07
16,5GNSA_4GChange,0.048,0.059,0.138
17,5GNSA_4GChange,0.051,0.07,0.096
18,5GNSA_5GChange,0.019,,0.082
19,5GNSA_4GChange,0.038,0.05,0.086
20,5GNSA_5GChange,0.016,,0.103
21,5GNSA_5GChange,0.019,,0.511
22,5GNSA_4GChange,0.04,0.049,0.402
23,5GNSA_5GChange,0.019,,0.113
24,5GNSA_5GChange,0.019,,0.135
25,5GNSA_5GChange,0.019,,0.321
26,5GNSA_5GChange,0.015,,0.069
27,5GNSA_5GChange,0.013,,0.127
28,5GNSA_4GChange,0.038,0.049,0.175
29,5GNSA_5GChange,0.019,,0.49
30,5GNSA_5GChange,0.014,,0.138
31,5GNSA_5GChange,0.014,,0.209
32,5GNSA_4G5GChange,0.033,0.049,0.082
33,5GNSA_5GChange,0.015,,0.5
34,5GNSA_4GChange,0.036,0.048,0.534
35,5GNSA_5GChange,0.019,,0.203
36,5GNSA_4GChange,0.037,0.054,0.137
37,5GNSA_4G5GChange,0.028,0.038,0.094
38,5GNSA_4GChange,0.038,0.048,0.147
39,5GNSA_5GChange,0.014,,0.088
40,5GNSA_4GChange,0.047,0.06,0.369
41,5GNSA_5GChange,0.019,,0.18
42,5GNSA_5GChange,0.013,,0.29
43,5GNSA_5GChange,0.016,,0.604
44,5GNSA_5GChange,0.018,,0.242
45,5GNSA_5GChange,0.015,,0.472
46,5GNSA_4GChange,0.038,0.053,0.779
47,5GNSA_5GChange,0.018,,0.153
48,5GNSA_4GChange,0.026,0.036,0.079
49,5GNSA_4G5GChange,0.025,0.04,0.115
50,5GNSA_5GChange,0.012,,0.521
51,5GNSA_5GChange,0.012,,0.274
52,5GNSA_4GChange,0.018,0.034,0.13
53,5GNSA_5GChange,0.013,,0.485
54,5GNSA_5GChange,0.012,,0.666
55,5GNSA_5GChange,0.012,,0.092
56,5GNSA_4GChange,0.02,0.032,0.09
57,5GNSA_4GChange,0.026,0.044,0.14
58,5GNSA_5GChange,0.011,,0.351
59,5GNSA_5GChange,0.012,,0.367
60,5GNSA_4GChange,0.02,0.031,0.067
61,5GNSA_5GChange,0.018,,0.107
62,5GNSA_5GChange,0.02,,0.156
63,5GNSA_4GChange,0.038,0.049,0.153
64,5GNSA_5GChange,0.019,,0.352
65,5GNSA_4G5GChange,0.02,0.029,0.158
66,5GNSA_4GChange,0.046,0.064,0.253
67,5GNSA_5GChange,0.021,,0.14
68,5GNSA_5GChange,0.016,,0.129
69,5GNSA_5GChange,0.015,,0.107
70,5GNSA_4GChange,0.045,0.055,0.214
71,5GNSA_5GChange,0.02,,0.503
72,5GNSA_4GChange,0.038,0.056,0.272
73,5GNSA_5GChange,0.014,,0.519
74,5GNSA_4GChange,0.046,0.061,0.34
75,5GNSA_4GChange,0.04,0.059,0.282
76,5GNSA_4GChange,0.038,0.054,0.128
77,5GNSA_4GChange,0.025,0.035,0.113
78,5GNSA_4GChange,0.023,0.035,0.259
79,5GNSA_4GChange,0.038,0.055,0.103
80,5GNSA_5GChange,0.018,,0.253
81,5GNSA_4G5GChange,0.024,0.041,0.1
82,5GNSA_5GChange,0.018,,0.104
83,5GNSA_5GChange,0.014,,0.236
84,5GNSA_5GChange,0.019,,0.138
85,5GNSA_5GChange,0.014,,0.124
86,5GNSA_4GChange,0.039,0.055,0.093
87,5GNSA_4GChange,0.02,0.034,0.132
88,5GNSA_5GChange,0.015,,0.08
89,5GNSA_4GChange,0.037,0.054,0.1
90,5GNSA_5GChange,0.014,,0.201
91,5GNSA_5GChange,0.016,,0.095
92,5GNSA_5GChange,0.014,,0.12
93,5GNSA_4GChange,0.04,0.051,0.07
94,4G_4G,0.026,0.043,0.096
95,5GNSA_4GChange,0.046,0.059,0.153
96,5GNSA_5GChange,0.017,,0.194
97,5GNSA_4GChange,0.037,0.052,0.101
98,5GNSA_4GChange,0.042,0.06,0.288
99,5GNSA_5GChange,0.021,,0.172
100,5GNSA_5GChange,0.015,,0.091
101,5GNSA_4GChange,0.039,0.052,0.098
102,4G_4G,0.017,0.029,
103,4G_4G,0.018,0.034,0.113
104,5GNSA_4GChange,0.042,0.06,0.083
105,5GNSA_5GChange,0.014,,0.588
106,5GNSA_5GChange,0.02,,0.146
107,5GNSA_4GChange,0.044,0.059,0.174
108,5GNSA_5GChange,0.014,,0.202
109,5GNSA_4GChange,0.043,0.062,0.125
110,5GNSA_5GChange,0.014,,0.356
111,5GNSA_5GChange,0.012,,0.556
112,5GNSA_4GChange,0.049,0.066,0.092
113,5GNSA_5GChange,0.011,,0.477
114,5GNSA_4GChange,0.021,0.032,0.455
115,5GNSA_5GChange,0.012,,0.141
116,5GNSA_4GChange,0.021,0.037,0.151
117,5GNSA_4G5GChange,0.037,0.051,0.517
118,5GNSA_4GChange,0.038,0.054,0.637
119,5GNSA_5GChange,0.013,,0.1
120,5GNSA_5GChange,0.018,,0.087
121,5GNSA_5GChange,0.012,,0.067
122,5GNSA_5GChange,0.014,,0.103
123,5GNSA_4GChange,0.039,0.05,0.109
124,4G_4G,0.025,0.043,
