HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GNSA_5GChange,0.023,,0.084
5GNSA_5GChange,0.022,,0.081
5GNSA_5GChange,0.022,,0.081
5GNSA_5GChange,0.016,,0.074
4G_5GNSA,0.022,0.064,0.1
4G_5GNSA,0.036,0.074,0.081
5GNSA_4G,0.049,0.067,
4G_4G,0.066,0.076,
4G_5GNSA,0.033,0.074,0.084
5GNSA_4GChange,0.023,0.04,0.057
5GNSA_5GChange,0.015,,0.071
5GNSA_5GChange,0.021,,0.074
5GNSA_4GChange,0.041,0.057,0.061
4G_5GNSA,0.043,0.105,0.076
5GNSA_5GChange,0.014,,0.074
5GNSA_5GChange,0.023,,0.079
5GNSA_5GChange,0.014,,0.067
5GNSA_5GChange,0.02,,0.074
5GNSA_5GChange,0.022,,0.079
5GNSA_4GChange,0.05,0.066,0.07
5GNSA_5GChange,0.023,,0.079
5GNSA_4GChange,0.05,0.061,0.07
5GNSA_4GChange,0.042,0.053,0.059
5GNSA_5GChange,0.012,,0.069
5GNSA_4GChange,0.044,0.059,0.059
5GNSA_5GChange,0.022,,0.074
5GNSA_5GChange,0.022,,0.074
5GNSA_4GChange,0.048,0.06,0.073
5GNSA_5GChange,0.015,,0.067
5GNSA_5GChange,0.024,,0.076
5GNSA_4GChange,0.043,0.059,0.066
5GNSA_4GChange,0.021,0.036,0.06
5GNSA_4GChange,0.019,0.031,0.078
5GNSA_5GChange,0.024,,0.076
5GNSA_4GChange,0.048,0.066,0.066
5GNSA_5GChange,0.021,,0.072
5GNSA_5GChange,0.015,,0.075
5GNSA_5GChange,0.023,,0.08
5GNSA_4GChange,0.053,0.067,0.077
5GNSA_5GChange,0.016,,0.089
5GNSA_5GChange,0.014,,0.07
5GNSA_4GChange,0.052,0.064,0.071
5GNSA_5GChange,0.02,,0.077
5GNSA_4GChange,0.023,0.035,0.059
5GNSA_5GChange,0.022,,0.082
5GNSA_5GChange,0.024,,0.077
5GNSA_5GChange,0.013,,0.074
5GNSA_5GChange,0.019,,0.077
5GNSA_5GChange,0.021,,0.075
5GNSA_4GChange,0.049,0.061,0.071
5GNSA_5GChange,0.016,,0.072
5GNSA_4GChange,0.052,0.062,0.069
5GNSA_5GChange,0.015,,0.069
5GNSA_5GChange,0.025,,0.076
5GNSA_4GChange,0.047,0.06,0.11
5GNSA_5GChange,0.021,,0.079
5GNSA_5GChange,0.022,,0.075
5GNSA_5GChange,0.022,,0.074
5GNSA_5GChange,0.016,,0.066
5GNSA_5GChange,0.02,,0.071
5GNSA_5GChange,0.023,,0.081
5GNSA_4GChange,0.047,0.059,0.063
5GNSA_4G5GChange,0.047,0.063,0.067
5GNSA_4GChange,0.049,0.059,0.066
5GNSA_5GChange,0.023,,0.077
5GNSA_5GChange,0.022,,0.076
5GNSA_5GChange,0.017,,0.066
5GNSA_4GChange,0.047,0.058,0.071
5GNSA_4G,0.026,0.046,
4G_5GNSA,0.028,0.075,0.09
5GNSA_5GChange,0.016,,0.076
5GNSA_4G,0.021,0.038,
4G_4G,0.04,0.05,
4G_4G,0.039,0.053,
4G_5GNSA,0.023,0.064,0.074
5GNSA_4GChange,0.051,0.063,0.067
5GNSA_5GChange,0.016,,0.071
5GNSA_5GChange,0.015,,0.065
5GNSA_4GChange,0.029,0.046,0.064
5GNSA_5GChange,0.05,,0.099
5GNSA_4GChange,0.043,0.06,0.065
5GNSA_5GChange,0.014,,0.07
5GNSA_4GChange,0.045,0.061,0.072
5GNSA_4GChange,0.048,0.066,0.077
5GNSA_4G,0.031,0.047,
4G_4G,0.026,0.036,
4G_5GNSA,0.039,0.109,0.064
5GNSA_5GChange,0.013,,0.072
5GNSA_4GChange,0.019,0.028,0.065
5GNSA_5GChange,0.013,,0.068
5GNSA_4GChange,0.018,0.03,0.061
5GNSA_5GChange,0.02,,0.077
5GNSA_5GChange,0.019,,0.079
5GNSA_5GChange,0.016,,0.074
5GNSA_5GChange,0.019,,0.078
5GNSA_5GChange,0.016,,0.07
5GNSA_5GChange,0.013,,0.068
5GNSA_5GChange,0.023,,0.082
5GNSA_5GChange,0.02,,0.077
5GNSA_5GChange,0.025,,0.083
5GNSA_5GChange,0.022,,0.078
5GNSA_5GChange,0.023,,0.084
5GNSA_4G,0.023,0.059,
4G_5GNSA,0.024,0.052,0.087
5GNSA_5GChange,0.012,,0.075
5GNSA_5GChange,0.013,,0.076
5GNSA_5GChange,0.013,,0.071
5GNSA_5GChange,0.013,,0.078
5GNSA_4GChange,0.023,0.035,0.063
5GNSA_5GChange,0.011,,0.073
5GNSA_4GChange,0.016,0.025,0.065
5GNSA_5GChange,0.012,,0.074
5GNSA_4GChange,0.016,0.025,0.07
4G_4G,0.034,0.05,
4G_4G,0.032,0.047,
4G_4G,0.042,0.054,
4G_4G,0.041,0.052,
4G_4G,0.04,0.056,
4G_4G,0.026,0.041,
4G_4G,0.037,0.052,
4G_4G,0.038,0.051,
4G_4G,0.022,0.035,
4G_4G,0.04,0.051,
4G_4G,0.029,0.041,
4G_4G,0.022,0.037,
4G_4G,0.034,0.049,
4G_4G,0.026,0.04,
4G_4G,0.035,0.048,
4G_4G,0.026,0.036,
4G_4G,0.033,0.044,
4G_4G,0.025,0.043,
4G_4G,0.033,0.044,
4G_4G,0.022,0.037,
4G_4G,0.036,0.055,
4G_4G,0.038,0.05,
4G_4G,0.039,0.054,
4G_4G,0.035,0.051,
4G_4G,0.036,0.053,
4G_4G,0.018,0.028,
4G_4G,0.025,0.043,
4G_4G,0.019,0.031,
4G_4G,0.03,0.04,
4G_4G,0.023,0.038,
4G_4G,0.033,0.042,
4G_4G,0.033,0.047,
4G_4G,0.034,0.049,
4G_4G,0.022,0.034,
4G_4G,0.026,0.038,
4G_4G,0.033,0.051,
4G_4G,0.028,0.04,
4G_4G,0.024,0.035,
4G_4G,0.036,0.054,
4G_4G,0.032,0.043,
4G_4G,0.038,0.054,
5GNSA_5GChange,0.022,,0.104
5GNSA_5GChange,0.021,,0.083
5GNSA_4GChange,0.027,0.043,0.066
5GNSA_5GChange,0.018,,0.078
5GNSA_5GChange,0.021,,0.078
5GNSA_4G,0.038,0.049,
4G_4G,0.034,0.051,
4G_5GNSA,0.02,0.058,0.089
5GNSA_4G,0.017,0.03,
4G_5GNSA,0.046,0.112,0.091
5GNSA_5GChange,0.023,,0.079
5GNSA_4GChange,0.029,0.044,0.062
5GNSA_5GChange,0.015,,0.07
5GNSA_4GChange,0.039,0.051,0.062
5GNSA_5GChange,0.019,,0.077
5GNSA_4GChange,0.027,0.045,0.063
5GNSA_4G,0.04,0.053,
4G_4G,0.041,0.058,
4G_5GNSA,0.024,0.065,0.076
4G_4G,0.034,0.05,
4G_4G,0.024,0.035,
