HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
4G_5GNSA,0.02,0.062,0.066
5GNSA_5GChange,0.021,,0.066
5GNSA_4GChange,0.044,0.061,0.065
5GNSA_5GChange,0.02,,0.069
5GNSA_4GChange,0.021,0.039,0.049
5GNSA_4GChange,0.022,0.031,0.054
5GNSA_4GChange,0.019,0.035,0.054
5GNSA_4GChange,0.017,0.03,0.054
5GNSA_4GChange,0.021,0.033,0.05
5GNSA_5GChange,0.056,,0.099
5GNSA_5GChange,0.011,,0.064
5GNSA_5GChange,0.013,,0.063
5GNSA_4GChange,0.021,0.035,0.055
5GNSA_5GChange,0.019,,0.063
5GNSA_5GChange,0.021,,0.076
5GNSA_4GChange,0.043,0.062,0.062
5GNSA_4GChange,0.04,0.05,0.067
5GNSA_5GChange,0.034,,0.074
5GNSA_5GChange,0.013,,0.064
5GNSA_5GChange,0.015,,0.06
5GNSA_5GChange,0.019,,0.062
5GNSA_5GChange,0.019,,0.069
5GNSA_5GChange,0.02,,0.066
5GNSA_5GChange,0.012,,0.06
5GNSA_4G,0.021,0.04,
4G_5GNSA,0.021,0.065,0.071
5GNSA_4G,0.02,0.03,
4G_5GNSA,0.02,0.054,0.061
5GNSA_5GChange,0.013,,0.066
5GNSA_5GChange,0.018,,0.066
5GNSA_5GChange,0.013,,0.058
5GNSA_5GChange,0.047,,0.091
5GNSA_4G,0.024,0.042,
4G_4G,0.021,0.038,
4G_4G,0.03,0.04,
4G_4G,0.026,0.038,
4G_4G,0.027,0.04,
4G_4G,0.029,0.042,
4G_4G,0.027,0.045,
4G_4G,0.023,0.032,
4G_4G,0.024,0.043,
4G_4G,0.022,0.03,
4G_4G,0.02,0.03,
4G_4G,0.022,0.036,
4G_4G,0.033,0.042,
4G_4G,0.032,0.043,
4G_4G,0.025,0.043,
4G_4G,0.028,0.045,
4G_4G,0.025,0.04,
4G_4G,0.019,0.033,
4G_4G,0.02,0.036,
4G_4G,0.025,0.042,
4G_4G,0.02,0.03,
4G_4G,0.032,0.042,
4G_4G,0.023,0.034,
4G_4G,0.02,0.033,
4G_4G,0.022,0.033,
4G_4G,0.023,0.035,
4G_4G,0.024,0.04,
4G_4G,0.025,0.04,
4G_4G,0.023,0.04,
4G_4G,0.023,0.037,
4G_4G,0.029,0.041,
4G_4G,0.022,0.035,
4G_4G,0.032,0.047,
4G_4G,0.032,0.045,
4G_4G,0.031,0.049,
4G_4G,0.02,0.03,
4G_4G,0.031,0.047,
4G_4G,0.028,0.041,
4G_4G,0.029,0.039,
4G_4G,0.024,0.034,
4G_4G,0.032,0.041,
4G_4G,0.025,0.038,
4G_4G,0.031,0.047,
4G_4G,0.027,0.043,
4G_4G,0.031,0.045,
4G_4G,0.032,0.044,
4G_4G,0.032,0.052,
4G_4G,0.03,0.039,
4G_4G,0.03,0.051,
4G_4G,0.03,0.045,
4G_4G,0.032,0.046,
4G_4G,0.025,0.043,
4G_4G,0.025,0.034,
4G_4G,0.031,0.048,
4G_4G,0.029,0.038,
4G_4G,0.028,0.038,
4G_4G,0.024,0.04,
4G_4G,0.025,0.035,
4G_4G,0.022,0.033,
4G_4G,0.024,0.037,
4G_4G,0.025,0.033,
4G_4G,0.016,0.025,
4G_4G,0.026,0.042,
4G_4G,0.024,0.059,
4G_4G,0.016,0.029,
4G_4G,0.023,0.04,
4G_4G,0.016,0.031,
4G_4G,0.019,0.029,
4G_4G,0.023,0.036,
4G_4G,0.022,0.037,
4G_4G,0.026,0.04,
4G_4G,0.019,0.027,
4G_4G,0.023,0.033,
4G_4G,0.024,0.035,
4G_4G,0.025,0.042,
4G_4G,0.017,0.054,
4G_4G,0.024,0.04,
4G_4G,0.032,0.043,
4G_4G,0.016,0.026,
4G_4G,0.026,0.038,
4G_4G,0.025,0.034,
4G_4G,0.017,0.029,
4G_4G,0.024,0.033,
4G_4G,0.03,0.041,
4G_4G,0.024,0.037,
4G_4G,0.027,0.036,
4G_4G,0.026,0.043,
4G_4G,0.026,0.042,
4G_4G,0.028,0.038,
4G_4G,0.038,0.053,
4G_4G,0.017,0.034,
4G_4G,0.025,0.042,
4G_4G,0.022,0.036,
4G_4G,0.025,0.035,
4G_4G,0.023,0.039,
4G_4G,0.024,0.036,
4G_4G,0.024,0.041,
4G_4G,0.017,0.032,
4G_4G,0.024,0.041,
4G_4G,0.024,0.039,
4G_4G,0.027,0.038,
4G_4G,0.026,0.038,
4G_4G,0.027,0.044,
4G_4G,0.024,0.035,
4G_4G,0.025,0.039,
4G_4G,0.017,0.029,
4G_4G,0.025,0.038,
4G_4G,0.024,0.04,
4G_4G,0.024,0.041,
4G_4G,0.027,0.038,
