,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,5GNSA_5GChange,0.023,,0.08
1,5GNSA_5GChange,0.019,,0.079
2,5GNSA_5GChange,0.021,,0.072
3,5GNSA_5GChange,0.011,,0.069
4,5GNSA_4GChange,0.045,0.083,0.07
5,5GNSA_4GChange,0.048,0.061,0.068
6,5GNSA_5GChange,0.015,,0.07
7,5GNSA_5GChange,0.023,,0.083
8,5GNSA_5GChange,0.016,,0.067
9,5GNSA_4GChange,0.053,0.066,0.073
10,5GNSA_4GChange,0.034,0.053,0.053
11,5GNSA_5GChange,0.02,,0.076
12,5GNSA_5GChange,0.021,,0.073
13,5GNSA_5GChange,0.012,,0.066
14,5GNSA_4GChange,0.019,0.032,0.059
15,5GNSA_5GChange,0.016,,0.071
16,5GNSA_5GChange,0.016,,0.066
17,5GNSA_4GChange,0.048,0.065,0.072
18,5GNSA_4GChange,0.039,0.054,0.064
19,5GNSA_5GChange,0.02,,0.073
20,5GNSA_5GChange,0.02,,0.075
21,5GNSA_5GChange,0.016,,0.075
22,5GNSA_4GChange,0.049,0.066,0.07
23,5GNSA_4GChange,0.019,0.034,0.061
24,5GNSA_5GChange,0.022,,0.082
25,5GNSA_5GChange,0.023,,0.082
26,5GNSA_4GChange,0.033,0.045,0.055
27,5GNSA_5GChange,0.015,,0.075
28,5GNSA_5GChange,0.023,,0.086
29,5GNSA_5GChange,0.021,,0.082
30,5GNSA_5GChange,0.017,,0.079
31,5GNSA_5GChange,0.013,,0.07
32,5GNSA_5GChange,0.015,,0.073
33,5GNSA_5GChange,0.015,,0.066
34,5GNSA_4GChange,0.046,0.059,0.066
35,5GNSA_4GChange,0.053,0.071,0.075
36,5GNSA_5GChange,0.014,,0.067
37,5GNSA_4GChange,0.053,0.069,0.073
38,5GNSA_5GChange,0.011,,0.065
39,5GNSA_5GChange,0.018,,0.073
40,5GNSA_5GChange,0.018,,0.072
41,5GNSA_5GChange,0.013,,0.067
42,5GNSA_4GChange,0.043,0.056,0.063
43,5GNSA_5GChange,0.021,,0.074
44,5GNSA_5GChange,0.018,,0.074
45,5GNSA_5GChange,0.024,,0.081
46,5GNSA_5GChange,0.021,,0.079
47,5GNSA_4G,0.02,0.053,
48,4G_5GNSA,0.046,0.108,0.076
49,5GNSA_4GChange,0.021,0.038,0.062
50,5GNSA_5GChange,0.014,,0.074
51,4G_5GNSA,0.024,0.07,0.099
52,5GNSA_5GChange,0.012,,0.07
53,5GNSA_5GChange,0.018,,0.071
54,4G_5GNSA,0.023,0.065,0.085
55,4G_5GNSA,0.023,0.068,0.088
56,4G_5GNSA,0.038,0.071,0.085
57,4G_5GNSA,0.033,0.101,0.065
58,5GNSA_5GChange,0.015,,0.078
59,5GNSA_5GChange,0.02,,0.08
60,5GNSA_5GChange,0.015,,0.076
61,5GNSA_5GChange,0.022,,0.082
62,5GNSA_5GChange,0.022,,0.079
63,5GNSA_5GChange,0.023,,0.081
64,5GNSA_5GChange,0.015,,0.071
65,5GNSA_4G,0.023,0.034,
66,4G_5GNSA,0.022,0.056,0.074
67,5GNSA_5GChange,0.02,,0.079
68,4G_5GNSA,0.042,0.11,0.068
69,5GNSA_5GChange,0.022,,0.086
70,4G_5GNSA,0.034,0.066,0.08
71,5GNSA_5GChange,0.026,,0.082
72,4G_5GNSA,0.03,0.127,0.085
73,5GNSA_5GChange,0.024,,0.078
74,5GNSA_5GChange,0.025,,0.083
75,5GNSA_4GChange,0.05,0.062,0.079
76,5GNSA_4GChange,0.021,0.031,0.069
77,4G_5GNSA,0.028,0.06,0.097
78,5GNSA_5GChange,0.015,,0.07
79,5GNSA_4G,0.022,0.036,
80,5GNSA_5GChange,0.011,,0.072
81,5GNSA_4G,0.028,0.065,
82,4G_5GNSA,0.023,0.059,0.098
83,5GNSA_4GChange,0.045,0.057,0.071
84,5GNSA_5GChange,0.015,,0.088
85,5GNSA_4G,0.026,0.038,
86,4G_5GNSA,0.031,0.115,0.089
87,5GNSA_4G,0.025,0.067,
88,4G_5GNSA,0.027,0.059,0.083
89,5GNSA_5GChange,0.018,,0.069
90,5GNSA_5GChange,0.016,,0.067
91,5GNSA_5GChange,0.022,,0.081
92,5GNSA_4GChange,0.058,0.076,0.079
93,5GNSA_4GChange,0.046,0.059,0.069
94,5GNSA_4G,0.045,0.06,
95,4G_5GNSA,0.027,0.065,0.079
96,5GNSA_4GChange,0.056,0.074,0.081
97,4G_4G,0.02,0.034,
98,4G_4G,0.029,0.045,
99,4G_5GNSA,0.023,0.111,0.078
100,5GNSA_5GChange,0.022,,0.075
101,5GNSA_5GChange,0.015,,0.078
102,5GNSA_5GChange,0.013,,0.067
103,5GNSA_5GChange,0.012,,0.071
104,5GNSA_4G,0.011,0.045,
105,4G_5GNSA,0.034,0.096,0.063
106,4G_5GNSA,0.046,0.108,0.073
107,5GNSA_4GChange,0.052,0.07,0.081
108,4G_5GNSA,0.051,0.119,0.073
109,5GNSA_5GChange,0.022,,0.077
110,5GNSA_4G,0.027,0.059,
111,4G_5GNSA,0.027,0.062,0.096
112,5GNSA_5GChange,0.016,,0.071
113,5GNSA_5GChange,0.021,,0.079
114,5GNSA_4GChange,0.035,0.049,0.055
115,5GNSA_5GChange,0.017,,0.109
116,5GNSA_4GChange,0.048,0.059,0.073
117,5GNSA_5GChange,0.016,,0.068
118,5GNSA_5GChange,0.023,,0.076
119,5GNSA_5GChange,0.024,,0.073
120,5GNSA_5GChange,0.023,,0.078
121,5GNSA_5GChange,0.024,,0.078
122,5GNSA_4G,0.029,0.068,
123,4G_5GNSA,0.032,0.109,0.078
124,5GNSA_5GChange,0.022,,0.08
125,5GNSA_4G,0.026,0.039,
126,4G_5GNSA,0.026,0.061,0.085
127,5GNSA_5GChange,0.014,,0.07
128,5GNSA_4G,0.026,0.063,
129,4G_5GNSA,0.023,0.059,0.063
130,5GNSA_4G,0.044,0.061,
