HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
4G_5GNSA,0.033,0.068,0.085
4G_5GNSA,0.02,0.061,0.075
5GNSA_5GChange,0.014,,0.071
5GNSA_4G,0.053,0.073,
4G_5GNSA,0.039,0.104,0.065
5GNSA_4G5GChange,0.021,0.04,0.078
4G_5GNSA,0.035,0.073,0.08
5GNSA_5GChange,0.015,,0.072
5GNSA_5GChange,0.012,,0.064
5GNSA_4GChange,0.041,0.057,0.092
5GNSA_4G,0.046,0.06,
5GNSA_4G,0.02,0.034,
4G_5GNSA,0.029,0.058,0.072
4G_5GNSA,0.067,0.135,0.336
5GNSA_4G,0.025,0.062,
4G_4G,0.049,0.067,
4G_4G,0.071,0.086,
4G_4G,0.04,0.05,
4G_5GNSA,0.007,0.1,0.093
5GNSA_4G,0.016,0.034,
4G_4G,0.029,0.042,
4G_4G,0.043,0.057,
4G_4G,0.018,0.027,
4G_4G,0.025,0.041,
4G_4G,0.072,0.087,
4G_5GNSA,0.046,0.113,0.077
4G_5GNSA,0.022,0.06,0.078
5GNSA_5GChange,0.019,,0.074
5GNSA_4GChange,0.026,0.038,0.06
5GNSA_5GChange,0.015,,0.069
5GNSA_5GChange,0.021,,0.077
5GNSA_5GChange,0.02,,0.074
4G_5GNSA,0.031,0.066,0.083
4G_4G,0.07,0.081,
5GNSA_4G,0.025,0.06,
4G_5GNSA,0.029,0.06,0.075
5GNSA_5GChange,0.016,,0.07
5GNSA_4GChange,0.021,0.038,0.062
5GNSA_5GChange,0.014,,0.072
4G_5GNSA,0.044,0.11,0.086
5GNSA_4G,0.022,0.032,
4G_5GNSA,0.043,0.109,0.069
4G_5GNSA,0.029,0.058,0.075
5GNSA_4GChange,0.047,0.056,0.066
4G_4G,0.04,0.05,
4G_4G,0.042,0.058,
4G_4G,0.034,0.051,
4G_5GNSA,0.033,0.095,0.066
5GNSA_4GChange,0.078,0.097,0.102
5GNSA_5GChange,0.014,,0.073
5GNSA_4GChange,0.054,0.063,0.084
5GNSA_4GChange,0.048,0.065,0.07
5GNSA_4G5GChange,0.035,0.054,0.065
5GNSA_4GChange,0.037,0.048,0.065
5GNSA_5GChange,0.021,,0.078
4G_5GNSA,0.034,0.066,0.08
4G_5GNSA,0.02,0.059,0.069
4G_4G,0.026,0.035,
4G_5GNSA,0.023,0.067,0.079
5GNSA_5GChange,0.013,,0.071
5GNSA_4G,0.02,0.06,
4G_5GNSA,0.027,0.109,0.077
4G_5GNSA,0.023,0.114,0.072
5GNSA_4GChange,0.04,0.053,0.065
5GNSA_5GChange,0.021,,0.082
5GNSA_4GChange,0.043,0.055,0.066
5GNSA_5GChange,0.016,,0.073
5GNSA_5GChange,0.015,,0.067
4G_4G,0.035,0.052,
4G_5GNSA,0.027,0.064,0.118
