,HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
0,4G_4G,0.029,0.04,
1,4G_4G,0.026,0.039,
2,4G_4G,0.043,0.059,
3,4G_4G,0.038,0.048,
4,4G_4G,0.03,0.041,
5,4G_4G,0.029,0.039,
6,4G_4G,0.028,0.04,
7,4G_4G,0.025,0.037,
8,4G_4G,0.024,0.034,
9,4G_4G,0.02,0.034,
10,4G_4G,0.021,0.033,
11,4G_4G,0.023,0.036,
12,4G_4G,0.022,0.037,
13,4G_4G,0.027,0.045,
14,4G_4G,0.026,0.035,
15,4G_4G,0.029,0.044,
16,4G_4G,0.024,0.036,
17,4G_4G,0.028,0.047,
18,4G_4G,0.027,0.039,
19,4G_4G,0.023,0.038,
20,4G_4G,0.018,0.035,
21,4G_4G,0.029,0.064,
22,4G_4G,0.023,0.037,
23,4G_4G,0.016,0.028,
24,4G_4G,0.02,0.034,
25,4G_4G,0.025,0.034,
26,4G_4G,0.024,0.038,
27,4G_4G,0.023,0.033,
28,4G_4G,0.025,0.038,
29,4G_4G,0.028,0.043,
30,4G_4G,0.022,0.032,
31,4G_4G,0.031,0.048,
32,4G_4G,0.031,0.045,
33,4G_4G,0.028,0.046,
34,4G_4G,0.029,0.04,
35,4G_4G,0.026,0.036,
36,4G_4G,0.026,0.037,
37,4G_4G,0.03,0.04,
38,4G_4G,0.03,0.046,
39,4G_4G,0.032,0.047,
40,4G_4G,0.025,0.043,
41,4G_4G,0.03,0.049,
42,4G_4G,0.025,0.036,
43,4G_4G,0.026,0.035,
44,4G_4G,0.028,0.042,
45,4G_4G,0.026,0.042,
