HandoverType,Radio Time,4G Configuration Duration,5G Configuration Duration
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.049
5GSA_5GSA,,,0.048
5GSA_5GSA,,,0.055
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.05
5GSA_5GSA,,,0.052
5GSA_5GSA,,,0.059
5GSA_5GSA,,,0.055
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.061
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.06
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.059
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.055
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.054
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.056
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.057
5GSA_5GSA,,,0.058
5GSA_5GSA,,,0.057
5GSA_5GSA,0.014,,0.06
5GNSA_5GChange,0.021,,0.136
5GNSA_5GChange,0.015,,0.126
5GNSA_4GChange,0.02,0.037,0.13
5GNSA_4GChange,0.02,0.036,0.119
5GNSA_5GChange,0.012,,0.161
5GNSA_4GChange,0.023,0.041,0.124
5GNSA_5GChange,0.021,,0.127
5GNSA_4GChange,0.026,0.044,0.101
5GNSA_5GChange,0.021,,0.107
5GNSA_4GChange,0.024,0.037,0.073
5GNSA_4GChange,0.024,0.043,0.135
5GNSA_5GChange,0.021,,0.099
5GNSA_4GChange,0.023,0.036,0.127
5GNSA_5GChange,0.012,,0.143
5GNSA_4GChange,0.022,0.04,0.108
5GNSA_5GChange,0.02,,0.097
5GNSA_5GChange,0.015,,0.132
5GNSA_5GChange,0.022,,0.139
4G_4G,0.02,0.04,0.077
4G_4G,0.016,0.035,
5GNSA_5GChange,0.023,,0.095
5GNSA_4GChange,0.016,0.031,0.064
5GNSA_5GChange,0.014,,0.066
4G_4G,0.037,0.055,
5GNSA_4GChange,0.024,0.041,0.138
5GNSA_4GChange,0.025,0.041,0.083
5GNSA_5GChange,0.024,,0.109
5GNSA_4GChange,0.024,0.042,0.082
5GNSA_5GChange,0.013,,0.086
5GNSA_4GChange,0.021,0.039,0.099
5GNSA_5GChange,0.012,,0.075
5GNSA_4GChange,0.019,0.035,0.062
5GNSA_4GChange,0.017,0.035,0.07
5GNSA_4GChange,0.021,0.037,0.074
5GNSA_5GChange,0.012,,0.07
5GNSA_4GChange,0.015,0.035,0.058
5GNSA_4G5GChange,0.021,0.038,0.059
5GNSA_5GChange,0.013,,0.091
5GNSA_4GChange,0.018,0.03,0.128
5GNSA_4GChange,0.016,0.027,0.068
5GNSA_5GChange,0.013,,0.068
5GNSA_5GChange,0.013,,0.074
5GNSA_5GChange,0.023,,0.09
5GNSA_5GChange,0.022,,0.075
5GNSA_4GChange,0.019,0.032,0.072
5GNSA_5GChange,0.014,,0.077
5GNSA_4GChange,0.019,0.029,0.06
5GNSA_5GChange,0.013,,0.068
5GNSA_4GChange,0.025,0.037,0.081
5GNSA_5GChange,0.024,,0.091
5GNSA_5GChange,0.023,,0.095
5GNSA_5GChange,0.023,,0.09
5GNSA_5GChange,0.013,,0.092
5GNSA_4GChange,0.022,0.032,0.07
5GNSA_4GChange,0.018,0.031,0.061
5GNSA_5GChange,0.023,,0.091
5GNSA_5GChange,0.025,,0.094
5GNSA_5GChange,0.014,,0.075
5GNSA_4GChange,0.017,0.031,0.068
5GNSA_4GChange,0.026,0.04,0.068
5GNSA_4GChange,0.015,0.025,0.068
5GNSA_4GChange,0.014,0.024,0.062
5GNSA_4GChange,0.017,0.027,0.058
5GNSA_5GChange,0.013,,0.077
5GNSA_5GChange,0.014,,0.072
5GNSA_5GChange,0.022,,0.092
5GNSA_4GChange,0.02,0.034,0.065
5GNSA_5GChange,0.012,,0.075
5GNSA_5GChange,0.014,,0.078
5GNSA_4GChange,0.024,0.036,0.065
5GNSA_5GChange,0.013,,0.104
5GNSA_4G5GChange,0.024,0.035,0.11
5GNSA_5GChange,0.013,,0.126
5GNSA_5GChange,0.013,,0.125
5GNSA_5GChange,0.014,,0.089
5GNSA_5GChange,0.013,,0.059
5GNSA_5GChange,0.012,,0.102
5GNSA_4GChange,0.025,0.045,0.103
5GNSA_5GChange,0.024,,0.138
5GNSA_5GChange,0.023,,0.072
5GNSA_4GChange,0.019,0.029,0.065
5GNSA_4GChange,0.027,0.038,0.11
