,Event 5G-NR Events,Event LTE Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type
78,NR MCG Handover Attempt	 ,None,None,None,None,None
82,NR MCG Handover Success	 ,None,None,None,None,None
212,NR MCG Handover Attempt	 ,None,None,None,None,None
214,NR MCG Handover Success	 ,None,None,None,None,None
230,NR MCG Handover Attempt	 ,None,None,None,None,None
234,NR MCG Handover Success	 ,None,None,None,None,None
249,NR MCG Handover Attempt	 ,None,None,None,None,None
252,NR MCG Handover Success	 ,None,None,None,None,None
277,NR MCG Handover Attempt	 ,None,None,None,None,None
282,NR MCG Handover Success	 ,None,None,None,None,None
299,NR MCG Handover Attempt	 ,None,None,None,None,None
301,NR MCG Handover Success	 ,None,None,None,None,None
320,NR MCG Handover Attempt	 ,None,None,None,None,None
323,NR MCG Handover Success	 ,None,None,None,None,None
334,NR MCG Handover Attempt	 ,None,None,None,None,None
337,NR MCG Handover Success	 ,None,None,None,None,None
354,NR MCG Handover Attempt	 ,None,None,None,None,None
358,NR MCG Handover Success	 ,None,None,None,None,None
378,NR MCG Handover Attempt	 ,None,None,None,None,None
380,NR MCG Handover Success	 ,None,None,None,None,None
399,NR MCG Handover Attempt	 ,None,None,None,None,None
401,NR MCG Handover Success	 ,None,None,None,None,None
417,NR MCG Handover Attempt	 ,None,None,None,None,None
420,NR MCG Handover Success	 ,None,None,None,None,None
443,NR MCG Handover Attempt	 ,None,None,None,None,None
447,NR MCG Handover Success	 ,None,None,None,None,None
505,NR MCG Handover Attempt	 ,None,None,None,None,None
507,NR MCG Handover Success	 ,None,None,None,None,None
555,NR MCG Handover Attempt	 ,None,None,None,None,None
559,NR MCG Handover Success	 ,None,None,None,None,None
579,NR MCG Handover Attempt	 ,None,None,None,None,None
583,NR MCG Handover Success	 ,None,None,None,None,None
896,NR MCG Handover Attempt	 ,None,None,None,None,None
899,NR MCG Handover Success	 ,None,None,None,None,None
938,NR MCG Handover Attempt	 ,None,None,None,None,None
941,NR MCG Handover Success	 ,None,None,None,None,None
955,NR MCG Handover Attempt	 ,None,None,None,None,None
960,NR MCG Handover Success	 ,None,None,None,None,None
974,NR MCG Handover Attempt	 ,None,None,None,None,None
977,NR MCG Handover Success	 ,None,None,None,None,None
1027,NR MCG Handover Attempt	 ,None,None,None,None,None
1030,NR MCG Handover Success	 ,None,None,None,None,None
1063,NR MCG Handover Attempt	 ,None,None,None,None,None
1065,NR MCG Handover Success	 ,None,None,None,None,None
1084,NR MCG Handover Attempt	 ,None,None,None,None,None
1089,NR MCG Handover Success	 ,None,None,None,None,None
1148,NR MCG Handover Attempt	 ,None,None,None,None,None
1150,NR MCG Handover Success	 ,None,None,None,None,None
1175,NR MCG Handover Attempt	 ,None,None,None,None,None
1178,NR MCG Handover Success	 ,None,None,None,None,None
1199,NR MCG Handover Attempt	 ,None,None,None,None,None
1202,NR MCG Handover Success	 ,None,None,None,None,None
1216,NR MCG Handover Attempt	 ,None,None,None,None,None
1218,NR MCG Handover Success	 ,None,None,None,None,None
1242,NR MCG Handover Attempt	 ,None,None,None,None,None
1246,NR MCG Handover Success	 ,None,None,None,None,None
1273,NR MCG Handover Attempt	 ,None,None,None,None,None
1276,NR MCG Handover Success	 ,None,None,None,None,None
1296,NR MCG Handover Attempt	 ,None,None,None,None,None
1299,NR MCG Handover Success	 ,None,None,None,None,None
1360,NR MCG Handover Attempt	 ,None,None,None,None,None
1362,NR MCG Handover Success	 ,None,None,None,None,None
1379,NR MCG Handover Attempt	 ,None,None,None,None,None
1381,NR MCG Handover Success	 ,None,None,None,None,None
1407,NR MCG Handover Attempt	 ,None,None,None,None,None
1411,NR MCG Handover Success	 ,None,None,None,None,None
1425,NR MCG Handover Attempt	 ,None,None,None,None,None
1428,NR MCG Handover Success	 ,None,None,None,None,None
1447,NR MCG Handover Attempt	 ,None,None,None,None,None
1451,NR MCG Handover Success	 ,None,None,None,None,None
1496,NR MCG Handover Attempt	 ,None,None,None,None,None
1500,NR MCG Handover Success	 ,None,None,None,None,None
1513,NR MCG Handover Attempt	 ,None,None,None,None,None
1517,NR MCG Handover Success	 ,None,None,None,None,None
1541,NR MCG Handover Attempt	 ,None,None,None,None,None
1545,NR MCG Handover Success	 ,None,None,None,None,None
1693,NR MCG Handover Attempt	 ,None,None,None,None,None
1695,NR MCG Handover Success	 ,None,None,None,None,None
1789,NR MCG Handover Attempt	 ,None,None,None,None,None
1793,NR MCG Handover Success	 ,None,None,None,None,None
1833,NR MCG Handover Attempt	 ,None,None,None,None,None
1836,NR MCG Handover Success	 ,None,None,None,None,None
1867,NR MCG Handover Attempt	 ,None,None,None,None,None
1870,NR MCG Handover Success	 ,None,None,None,None,None
1890,NR MCG Handover Attempt	 ,None,None,None,None,None
1893,NR MCG Handover Success	 ,None,None,None,None,None
1929,NR MCG Handover Attempt	 ,None,None,None,None,None
1933,NR MCG Handover Success	 ,None,None,None,None,None
1987,NR MCG Handover Attempt	 ,None,None,None,None,None
1990,NR MCG Handover Success	 ,None,None,None,None,None
2025,NR MCG Handover Attempt	 ,None,None,None,None,None
2027,NR MCG Handover Success	 ,None,None,None,None,None
2057,NR MCG Handover Attempt	 ,None,None,None,None,None
2061,NR MCG Handover Success	 ,None,None,None,None,None
2165,NR MCG Handover Attempt	 ,None,None,None,None,None
2169,NR MCG Handover Success	 ,None,None,None,None,None
2235,NR MCG Handover Attempt	 ,None,None,None,None,None
2238,NR MCG Handover Success	 ,None,None,None,None,None
2256,NR MCG Handover Attempt	 ,None,None,None,None,None
2258,NR MCG Handover Success	 ,None,None,None,None,None
2312,NR MCG Handover Attempt	 ,None,None,None,None,None
2316,NR MCG Handover Success	 ,None,None,None,None,None
2343,NR MCG Handover Attempt	 ,None,None,None,None,None
2347,NR MCG Handover Success	 ,None,None,None,None,None
2393,NR MCG Handover Attempt	 ,None,None,None,None,None
2397,NR MCG Handover Success	 ,None,None,None,None,None
2553,NR MCG Handover Attempt	 ,None,None,None,None,None
2556,NR MCG Handover Success	 ,None,None,None,None,None
2612,NR MCG Handover Attempt	 ,None,None,None,None,None
2616,NR MCG Handover Success	 ,None,None,None,None,None
2649,NR MCG Handover Attempt	 ,None,None,None,None,None
2652,NR MCG Handover Success	 ,None,None,None,None,None
2683,NR MCG Handover Attempt	 ,None,None,None,None,None
2687,NR MCG Handover Success	 ,None,None,None,None,None
2760,NR MCG Handover Attempt	 ,None,None,None,None,None
2764,NR MCG Handover Success	 ,None,None,None,None,None
2854,NR MCG Handover Attempt	 ,None,None,None,None,None
2858,NR MCG Handover Success	 ,None,None,None,None,None
2934,NR MCG Handover Attempt	 ,None,None,None,None,None
2939,NR MCG Handover Success	 ,None,None,None,None,None
3036,NR MCG Handover Attempt	 ,None,None,None,None,None
3039,NR MCG Handover Success	 ,None,None,None,None,None
3100,NR MCG Handover Attempt	 ,None,None,None,None,None
3102,NR MCG Handover Success	 ,None,None,None,None,None
3135,NR MCG Handover Attempt	 ,None,None,None,None,None
3138,NR MCG Handover Success	 ,None,None,None,None,None
3156,NR MCG Handover Attempt	 ,None,None,None,None,None
3159,NR MCG Handover Success	 ,None,None,None,None,None
3176,NR MCG Handover Attempt	 ,None,None,None,None,None
3181,NR MCG Handover Success	 ,None,None,None,None,None
3197,NR MCG Handover Attempt	 ,None,None,None,None,None
3202,NR MCG Handover Success	 ,None,None,None,None,None
3231,NR MCG Handover Attempt	 ,None,None,None,None,None
3234,NR MCG Handover Success	 ,None,None,None,None,None
3391,NR MCG Handover Attempt	 ,None,None,None,None,None
3396,NR MCG Handover Success	 ,None,None,None,None,None
3446,NR MCG Handover Attempt	 ,None,None,None,None,None
3450,NR MCG Handover Success	 ,None,None,None,None,None
3502,NR MCG Handover Attempt	 ,None,None,None,None,None
3505,NR MCG Handover Success	 ,None,None,None,None,None
3592,NR MCG Handover Attempt	 ,None,None,None,None,None
3595,NR MCG Handover Success	 ,None,None,None,None,None
3642,NR MCG Handover Attempt	 ,None,None,None,None,None
3644,NR MCG Handover Success	 ,None,None,None,None,None
3663,NR MCG Handover Attempt	 ,None,None,None,None,None
3666,NR MCG Handover Success	 ,None,None,None,None,None
3709,NR MCG Handover Attempt	 ,None,None,None,None,None
3712,NR MCG Handover Success	 ,None,None,None,None,None
3737,NR MCG Handover Attempt	 ,None,None,None,None,None
3741,NR MCG Handover Success	 ,None,None,None,None,None
3755,NR MCG Handover Attempt	 ,None,None,None,None,None
3757,NR MCG Handover Success	 ,None,None,None,None,None
3777,NR MCG Handover Attempt	 ,None,None,None,None,None
3780,NR MCG Handover Success	 ,None,None,None,None,None
3829,NR MCG Handover Attempt	 ,None,None,None,None,None
3832,NR MCG Handover Success	 ,None,None,None,None,None
3887,NR MCG Handover Attempt	 ,None,None,None,None,None
3891,NR MCG Handover Success	 ,None,None,None,None,None
3905,NR MCG Handover Attempt	 ,None,None,None,None,None
3909,NR MCG Handover Success	 ,None,None,None,None,None
3986,NR MCG Handover Attempt	 ,None,None,None,None,None
3990,NR MCG Handover Success	 ,None,None,None,None,None
4128,NR MCG Handover Attempt	 ,None,None,None,None,None
4131,NR MCG Handover Success	 ,None,None,None,None,None
4173,NR MCG Handover Attempt	 ,None,None,None,None,None
4176,NR MCG Handover Success	 ,None,None,None,None,None
4401,NR MCG Handover Attempt	 ,None,None,None,None,None
4404,NR MCG Handover Success	 ,None,None,None,None,None
4416,NR MCG Handover Attempt	 ,None,None,None,None,None
4420,NR MCG Handover Success	 ,None,None,None,None,None
4442,NR MCG Handover Attempt	 ,None,None,None,None,None
4446,NR MCG Handover Success	 ,None,None,None,None,None
4469,NR MCG Handover Attempt	 ,None,None,None,None,None
4471,NR MCG Handover Success	 ,None,None,None,None,None
4489,NR MCG Handover Attempt	 ,None,None,None,None,None
4492,NR MCG Handover Success	 ,None,None,None,None,None
4514,NR MCG Handover Attempt	 ,None,None,None,None,None
4517,NR MCG Handover Success	 ,None,None,None,None,None
4532,NR MCG Handover Attempt	 ,None,None,None,None,None
4535,NR MCG Handover Success	 ,None,None,None,None,None
4570,NR MCG Handover Attempt	 ,None,None,None,None,None
4573,NR MCG Handover Success	 ,None,None,None,None,None
4589,NR MCG Handover Attempt	 ,None,None,None,None,None
4594,NR MCG Handover Success	 ,None,None,None,None,None
4614,NR MCG Handover Attempt	 ,None,None,None,None,None
4617,NR MCG Handover Success	 ,None,None,None,None,None
4711,NR MCG Handover Attempt	 ,None,None,None,None,None
4714,NR MCG Handover Success	 ,None,None,None,None,None
4772,NR MCG Handover Attempt	 ,None,None,None,None,None
4776,NR MCG Handover Success	 ,None,None,None,None,None
4819,NR MCG Handover Attempt	 ,None,None,None,None,None
4823,NR MCG Handover Success	 ,None,None,None,None,None
5011,NR MCG Handover Attempt	 ,None,None,None,None,None
5015,NR MCG Handover Success	 ,None,None,None,None,None
5137,NR MCG Handover Attempt	 ,None,None,None,None,None
5139,NR MCG Handover Success	 ,None,None,None,None,None
5176,NR MCG Handover Attempt	 ,None,None,None,None,None
5179,NR MCG Handover Success	 ,None,None,None,None,None
5276,NR MCG Handover Attempt	 ,None,None,None,None,None
5281,NR MCG Handover Success	 ,None,None,None,None,None
5308,NR MCG Handover Attempt	 ,None,None,None,None,None
5311,NR MCG Handover Success	 ,None,None,None,None,None
5399,NR MCG Handover Attempt	 ,None,None,None,None,None
5401,NR MCG Handover Success	 ,None,None,None,None,None
5533,NR MCG Handover Attempt	 ,None,None,None,None,None
5537,NR MCG Handover Success	 ,None,None,None,None,None
5596,NR MCG Handover Attempt	 ,None,None,None,None,None
5600,NR MCG Handover Success	 ,None,None,None,None,None
5621,NR MCG Handover Attempt	 ,None,None,None,None,None
5626,NR MCG Handover Success	 ,None,None,None,None,None
5640,NR MCG Handover Attempt	 ,None,None,None,None,None
5642,NR MCG Handover Success	 ,None,None,None,None,None
5678,NR MCG Handover Attempt	 ,None,None,None,None,None
5681,NR MCG Handover Success	 ,None,None,None,None,None
5719,NR MCG Handover Attempt	 ,None,None,None,None,None
5722,NR MCG Handover Success	 ,None,None,None,None,None
5756,NR MCG Handover Attempt	 ,None,None,None,None,None
5758,NR MCG Handover Success	 ,None,None,None,None,None
5795,NR MCG Handover Attempt	 ,None,None,None,None,None
5798,NR MCG Handover Success	 ,None,None,None,None,None
5817,NR MCG Handover Attempt	 ,None,None,None,None,None
5820,NR MCG Handover Success	 ,None,None,None,None,None
5857,NR MCG Handover Attempt	 ,None,None,None,None,None
5861,NR MCG Handover Success	 ,None,None,None,None,None
5917,NR MCG Handover Attempt	 ,None,None,None,None,None
5920,NR MCG Handover Success	 ,None,None,None,None,None
5969,NR MCG Handover Attempt	 ,None,None,None,None,None
5972,NR MCG Handover Success	 ,None,None,None,None,None
6039,NR MCG Handover Attempt	 ,None,None,None,None,None
6043,NR MCG Handover Success	 ,None,None,None,None,None
6070,NR MCG Handover Attempt	 ,None,None,None,None,None
6073,NR MCG Handover Success	 ,None,None,None,None,None
6095,NR MCG Handover Attempt	 ,None,None,None,None,None
6099,NR MCG Handover Success	 ,None,None,None,None,None
6202,NR MCG Handover Attempt	 ,None,None,None,None,None
6204,NR MCG Handover Success	 ,None,None,None,None,None
