,index,5G-NR RRC NR MCG Mobility Statistics Intra-NR HandoverDuration [sec],HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec]
0,81,0.048,,,,,
1,214,0.048,,,,,
2,233,0.048,,,,,
3,251,0.047,,,,,
4,281,0.046,,,,,
5,301,0.046,,,,,
6,322,0.048,,,,,
7,337,0.049,,,,,
8,358,0.048,,,,,
9,380,0.045,,,,,
10,401,0.048,,,,,
11,419,0.045,,,,,
12,446,0.048,,,,,
13,507,0.048,,,,,
14,558,0.047,,,,,
15,582,0.048,,,,,
16,898,0.049,,,,,
17,941,0.049,,,,,
18,959,0.049,,,,,
19,977,0.049,,,,,
20,1030,0.048,,,,,
21,1065,0.047,,,,,
22,1088,0.047,,,,,
23,1150,0.045,,,,,
24,1177,0.049,,,,,
25,1201,0.047,,,,,
26,1218,0.047,,,,,
27,1245,0.046,,,,,
28,1276,0.049,,,,,
29,1298,0.049,,,,,
30,1362,0.048,,,,,
31,1381,0.048,,,,,
32,1410,0.048,,,,,
33,1428,0.045,,,,,
34,1450,0.047,,,,,
35,1499,0.049,,,,,
36,1516,0.046,,,,,
37,1544,0.046,,,,,
38,1695,0.048,,,,,
39,1792,0.048,,,,,
40,1836,0.049,,,,,
41,1870,0.048,,,,,
42,1892,0.046,,,,,
43,1932,0.049,,,,,
44,1989,0.048,,,,,
45,2027,0.047,,,,,
46,2061,0.048,,,,,
47,2168,0.049,,,,,
48,2238,0.047,,,,,
49,2258,0.047,,,,,
50,2315,0.049,,,,,
51,2346,0.049,,,,,
52,2396,0.049,,,,,
53,2556,0.046,,,,,
54,2615,0.049,,,,,
55,2652,0.047,,,,,
56,2686,0.047,,,,,
57,2764,0.049,,,,,
58,2857,0.046,,,,,
59,2938,0.048,,,,,
60,3038,0.048,,,,,
61,3102,0.047,,,,,
62,3137,0.05,,,,,
63,3158,0.049,,,,,
64,3180,0.048,,,,,
65,3201,0.047,,,,,
66,3234,0.047,,,,,
67,3395,0.047,,,,,
68,3449,0.048,,,,,
69,3504,0.049,,,,,
70,3594,0.048,,,,,
71,3644,0.049,,,,,
72,3666,0.048,,,,,
73,3711,0.047,,,,,
74,3740,0.05,,,,,
75,3757,0.049,,,,,
76,3780,0.049,,,,,
77,3832,0.049,,,,,
78,3890,0.051,,,,,
79,3909,0.048,,,,,
80,3989,0.048,,,,,
81,4131,0.048,,,,,
82,4176,0.05,,,,,
83,4403,0.047,,,,,
84,4419,0.048,,,,,
85,4445,0.048,,,,,
86,4471,0.049,,,,,
87,4491,0.05,,,,,
88,4516,0.047,,,,,
89,4534,0.048,,,,,
90,4573,0.047,,,,,
91,4593,0.048,,,,,
92,4617,0.048,,,,,
93,4714,0.05,,,,,
94,4775,0.049,,,,,
95,4822,0.049,,,,,
96,5014,0.048,,,,,
97,5139,0.046,,,,,
98,5178,0.049,,,,,
99,5280,0.048,,,,,
100,5310,0.048,,,,,
101,5401,0.047,,,,,
102,5536,0.048,,,,,
103,5599,0.047,,,,,
104,5626,0.05,,,,,
105,5642,0.05,,,,,
106,5681,0.048,,,,,
107,5722,0.048,,,,,
