index,handoverType
16,4G_5GNSA
42,5GNSA_5Gchange
81,5GNSA_4Gchange
124,5GNSA_5Gchange
134,5GNSA_4Gchange
208,5GNSA_4Gchange
240,5GNSA_4Gchange
266,5GNSA_4Gchange
298,5GNSA_4Gchange
318,5GNSA_5Gchange
328,5GNSA_5Gchange
394,5GNSA_5Gchange
420,5GNSA_4Gchange
434,5GNSA_5Gchange
448,5GNSA_5Gchange
486,5GNSA_4Gchange
512,5GNSA_4Gchange
530,5GNSA_5Gchange
545,5GNSA_5Gchange
565,5GNSA_5Gchange
566,5GNSA_5Gchange
580,5GNSA_5Gchange
593,5GNSA_5Gchange
613,5GNSA_5Gchange
614,5GNSA_5Gchange
625,5GNSA_5Gchange
635,5GNSA_4G
706,4G_5GNSA
776,5GNSA_4G
909,4G_5GNSA
938,5GNSA_5Gchange
947,5GNSA_5Gchange
964,5GNSA_5Gchange
980,5GNSA_5Gchange
998,5GNSA_4G
1045,4G_4G
1053,4G_4G
1112,4G_4G
1158,4G_4G
1255,4G_4G
1283,4G_4G
1297,4G_4G
1316,4G_4G
1376,4G_4G
1391,4G_4G
1441,4G_4G
1472,4G_4G
1544,4G_4G
1553,4G_4G
1560,4G_4G
1585,4G_4G
1702,4G_4G
1716,4G_4G
1901,4G_4G
1936,4G_4G
2101,4G_4G
2114,4G_4G
2125,4G_4G
2209,4G_4G
2223,4G_4G
2235,4G_4G
2255,4G_4G
2264,4G_4G
2277,4G_4G
2435,4G_4G
2520,4G_4G
2574,4G_4G
2647,4G_4G
2766,4G_4G
2797,4G_4G
2809,4G_4G
2842,4G_4G
2872,4G_4G
3020,4G_4G
3035,4G_4G
3057,4G_4G
3069,4G_4G
3081,4G_4G
3106,4G_4G
3120,4G_4G
3201,4G_4G
3214,4G_4G
3232,4G_4G
3372,4G_4G
3416,4G_4G
3490,4G_4G
3529,4G_4G
3716,4G_4G
3727,4G_4G
3819,4G_4G
3855,4G_4G
4006,4G_4G
4029,4G_4G
4102,4G_4G
4119,4G_4G
4281,4G_4G
4299,4G_4G
4309,4G_4G
4322,4G_4G
4337,4G_4G
4372,4G_4G
4391,4G_4G
4403,4G_4G
4414,4G_4G
4461,4G_4G
4521,4G_4G
4530,4G_4G
4794,4G_4G
4837,4G_4G
4856,4G_4G
4934,4G_4G
4944,4G_4G
4966,4G_4G
4976,4G_4G
4988,4G_4G
5001,4G_4G
5012,4G_4G
5020,4G_4G
5033,4G_4G
5046,4G_4G
5062,4G_4G
5286,4G_4G
5360,4G_4G
5439,4G_4G
5516,4G_4G
5533,4G_4G
5542,4G_4G
5556,4G_4G
5564,4G_4G
5572,4G_4G
5582,4G_4G
5591,4G_4G
5616,4G_4G
5634,4G_4G
5652,4G_4G
5695,4G_4G
5709,4G_4G
5728,4G_4G
5964,4G_4G
6127,4G_4G
6172,4G_4G
6287,4G_4G
6307,4G_4G
6316,4G_4G
6332,4G_4G
6369,4G_4G
6390,4G_4G
6398,4G_4G
