TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,Event 5G-NR Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type,5G-NR RRC NR SCG Mobility Statistics Duration [sec],5G-NR RRC NR SCG Release Statistics[NR to LTE] Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec],LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2023-04-21 13:34:34.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
2023-04-21 13:34:34.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,,,,,,,0.000,0.000
2023-04-21 13:34:35.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
2023-04-21 13:34:35.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,,,,,,,0.000,0.000
2023-04-21 13:34:36.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
2023-04-21 13:34:36.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
2023-04-21 13:34:37.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,,,125,Band 66,,,,,0.001,,0.000,0.000
2023-04-21 13:34:37.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,,,,,,,0.000,0.001
2023-04-21 13:34:37.758242,-9.325300,4.497390,,,,,,RRC Setup Start,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.758402,-9.325300,4.497390,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.758408,-9.325300,4.497390,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.758415,-9.325300,4.497390,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.758467,-9.325300,4.497390,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.758474,-9.325300,4.497390,,,,,,Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.758639,-9.325300,4.497390,,,,,,RRC Setup Success,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:37.958299,-9.325300,4.497390,,,,,,reportStrongestCells,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA(2CA),,,,,,,,,,,,,,,,125,Band 66,635,n41,0.015,0.030,0.098,0.035,0.001,0.001
2023-04-21 13:34:38.180635,-9.325300,4.497390,,,,,,eventB1_NR_r15,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.180819,-9.325300,4.497390,,,,,,,NR SCG Addition Attempt	 ,,,,,,,,NR SCG Addition[LTE to NR],,,,,,,,,,,,,,,
2023-04-21 13:34:38.226488,-9.325300,4.497390,,,,,,,NR SCG Addition Success	 ,,,,,,,,,,0.013,,,,,,,,,,,,,
2023-04-21 13:34:38.226805,-9.325300,4.497390,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.297529,-9.325300,4.497390,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,0.121,,,,,,,,,,,
2023-04-21 13:34:38.297529,-9.325300,4.497390,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.297529,-9.325300,4.497390,,,,,,,PRACH: Msg4,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.297529,-9.325300,4.497390,,,,,,,PRACH: Msg4[Pass]			,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.297581,-9.325300,4.497390,,,,,,,PRACH: Msg5,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:38.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.015,0.025,,,0.001,0.001
2023-04-21 13:34:38.676693,-9.325300,4.497390,,,,,,,eventA1,,,,,,,,,,,,,,,,,,,,,,,
2023-04-21 13:34:39.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.006,0.014,0.000,0.007,0.001,0.001
2023-04-21 13:34:39.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.034,,,0.001,0.001
2023-04-21 13:34:40.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.037,0.000,0.001,0.001,0.001
2023-04-21 13:34:40.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.003,0.033,,,0.001,0.001
2023-04-21 13:34:41.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.002,0.052,0.000,,0.001,0.001
2023-04-21 13:34:41.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.077,,,0.001,0.001
2023-04-21 13:34:42.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA(2CA),,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.040,,,0.001,0.001
2023-04-21 13:34:42.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.003,0.034,,,0.001,0.001
2023-04-21 13:34:43.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.006,0.032,,,0.001,0.001
2023-04-21 13:34:43.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.029,,,0.001,0.001
2023-04-21 13:34:44.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.005,0.039,0.000,,0.001,0.001
2023-04-21 13:34:44.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.003,0.036,,,0.001,0.001
2023-04-21 13:34:45.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA(2CA),,,,,,,,,,,,,,,,125,Band 66,635,n41,0.006,0.037,,,0.001,0.001
2023-04-21 13:34:45.500000,-9.325300,4.497390,,,,,,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.033,,,0.001,0.001
2023-04-21 13:34:46.000000,-9.325300,4.497390,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,125,Band 66,635,n41,0.004,0.027,,,0.001,0.001
