TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event 5G-NR Events,5G-NR RRC NR MCG Mobility Statistics Intra-NR HandoverDuration [sec],5G-NR RRC NR MCG Mobility Statistics Intrafreq Handover Source to Target NR-ARFCN/PCI,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2023-04-21 13:34:34.000000,-9.325300,4.497390,-93.252971,44.973926,3.800073,0.000000,5G-NR_SA,,,,,,,,,
2023-04-21 13:34:34.500000,-9.325300,4.497390,,,,,,,,,867,,,,0.000,0.000
2023-04-21 13:34:35.000000,-9.325300,4.497390,-93.252971,44.973926,3.800064,0.000000,,,,,,,,,0.000,0.000
2023-04-21 13:34:35.500000,-9.325300,4.497390,,,,,,,,,,,,,0.000,0.000
2023-04-21 13:34:36.000000,-9.325300,4.497390,-93.252971,44.973926,3.804518,0.000000,5G-NR_SA,,,,867,,0.000,,0.000,0.000
2023-04-21 13:34:36.500000,-9.325300,4.497390,,,,,,,,,,,,,0.000,0.000
2023-04-21 13:34:37.000000,-9.325300,4.497390,-93.252971,44.973926,3.804415,0.000000,5G-NR_SA,,,,867,,0.000,,0.000,0.000
2023-04-21 13:34:37.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.018,0.043,0.000,0.000
2023-04-21 13:34:37.848756,-9.325300,4.497390,,,,,,RRC Setup Start			 ,,,,,,,,
2023-04-21 13:34:37.848778,-9.325300,4.497390,,,,,,PRACH: Msg1(RA),,,,,,,,
2023-04-21 13:34:37.848978,-9.325300,4.497390,,,,,,PRACH: Msg2(RAR),,,,,,,,
2023-04-21 13:34:37.848978,-9.325300,4.497390,,,,,,PRACH: Msg3(UE ID),,,,,,,,
2023-04-21 13:34:37.848978,-9.325300,4.497390,,,,,,PRACH: Msg4,,,,,,,,
2023-04-21 13:34:37.848978,-9.325300,4.497390,,,,,,PRACH: Msg4[Pass]			,,,,,,,,
2023-04-21 13:34:37.849059,-9.325300,4.497390,,,,,,PRACH: Msg5,,,,,,,,
2023-04-21 13:34:37.849188,-9.325300,4.497390,,,,,,RRC Setup Success			 ,,,,,,,,
2023-04-21 13:34:37.895413,-9.325300,4.497390,,,,,,MCG DRB Attempt,,,,,,,,
2023-04-21 13:34:37.895718,-9.325300,4.497390,,,,,,MCG DRB Success,,,,,,,,
2023-04-21 13:34:37.895738,-9.325300,4.497390,,,,,,Service Success,,,,,,,,
2023-04-21 13:34:38.000000,-9.325300,4.497390,-93.252971,44.973926,3.800139,0.000000,5G-NR_SA(2CA),,,,867,n41,0.032,0.077,0.001,0.001
2023-04-21 13:34:38.220057,-9.325300,4.497390,,,,,,eventA3,,,,,,,,
2023-04-21 13:34:38.220130,-9.325300,4.497390,,,,,,eventA1,,,,,,,,
2023-04-21 13:34:38.423141,-9.325300,4.497390,,,,,,eventA3,,,,,,,,
2023-04-21 13:34:38.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.014,0.045,0.001,0.001
2023-04-21 13:34:38.577765,-9.325300,4.497390,,,,,,eventA3,,,,,,,,
2023-04-21 13:34:38.717486,-9.325300,4.497390,,,,,,eventA3,,,,,,,,
2023-04-21 13:34:39.000000,-9.325300,4.497390,-93.252971,44.973926,3.800220,0.000000,5G-NR_SA,,,,867,n41,0.003,0.053,0.001,0.001
2023-04-21 13:34:39.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.012,0.072,0.001,0.001
2023-04-21 13:34:40.000000,-9.325300,4.497390,-93.252971,44.973926,3.800229,0.000000,5G-NR_SA(2CA),,,,867,n41,0.054,0.107,0.028,0.027
2023-04-21 13:34:40.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.006,0.057,0.001,0.001
2023-04-21 13:34:41.000000,-9.325300,4.497390,-93.252971,44.973926,3.795068,0.000000,5G-NR_SA(2CA),,,,867,n41,0.004,0.083,0.001,0.001
2023-04-21 13:34:41.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.004,0.077,0.001,0.001
2023-04-21 13:34:42.000000,-9.325300,4.497390,-93.252971,44.973926,3.796549,0.000000,5G-NR_SA,,,,867,n41,0.003,0.076,0.001,0.001
2023-04-21 13:34:42.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.004,0.075,0.001,0.001
2023-04-21 13:34:43.000000,-9.325300,4.497390,-93.252971,44.973926,3.800225,0.000000,5G-NR_SA(2CA),,,,867,n41,0.005,0.061,0.001,0.001
2023-04-21 13:34:43.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.002,0.063,0.001,0.001
2023-04-21 13:34:44.000000,-9.325300,4.497390,-93.252971,44.973926,3.813998,0.000000,5G-NR_SA(2CA),,,,867,n41,0.005,0.089,0.001,0.001
2023-04-21 13:34:44.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.003,0.114,0.001,0.001
2023-04-21 13:34:45.000000,-9.325300,4.497390,-93.252971,44.973926,3.992246,0.000000,5G-NR_SA,,,,867,n41,0.005,0.096,0.001,0.001
2023-04-21 13:34:45.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.005,0.096,0.001,0.001
2023-04-21 13:34:46.000000,-9.325300,4.497390,-93.252971,44.973926,4.172555,0.000000,5G-NR_SA(2CA),,,,867,n41,0.002,0.072,0.001,0.001
2023-04-21 13:34:46.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.004,0.082,0.001,0.001
2023-04-21 13:34:47.000000,-9.325300,4.497390,-93.252971,44.973926,4.311543,0.000000,5G-NR_SA,,,,867,n41,0.003,0.097,0.001,0.001
2023-04-21 13:34:47.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.002,0.076,0.001,0.001
2023-04-21 13:34:48.000000,-9.325300,4.497390,-93.252971,44.973926,4.410044,0.000000,5G-NR_SA(2CA),,,,867,n41,0.005,0.041,0.001,0.001
2023-04-21 13:34:48.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.002,0.049,0.001,0.001
2023-04-21 13:34:49.000000,-9.325300,4.497390,-93.252971,44.973926,4.600026,0.000000,5G-NR_SA(2CA),,,,867,n41,0.004,0.065,0.001,0.001
2023-04-21 13:34:49.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.541,0.234,0.001,0.001
2023-04-21 13:34:50.000000,-9.325300,4.497390,-93.252971,44.973926,4.269473,0.000000,5G-NR_SA,,,,867,n41,0.487,0.243,0.838,0.314
2023-04-21 13:34:50.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.004,0.048,0.001,0.002
2023-04-21 13:34:51.000000,-9.325300,4.497390,-93.252971,44.973926,4.179235,0.000000,5G-NR_SA(2CA),,,,867,n41,0.004,0.078,0.001,0.001
2023-04-21 13:34:51.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.004,0.066,0.001,0.001
2023-04-21 13:34:52.000000,-9.325300,4.497390,-93.252971,44.973926,4.104905,0.000000,5G-NR_SA(2CA),,,,867,n41,0.004,0.092,0.001,0.001
2023-04-21 13:34:52.500000,-9.325300,4.497390,,,,,,,,,867,n41,0.002,0.063,0.001,0.001
