handoverType,index,Radio Duration,4G Configuration Duration,5G Configuration Duration
4G_5GNSA,20,0.02,62.0,0.066
5GNSA_5Gchange,45,0.021,,0.066
5GNSA_4Gchange,84,0.044,61.0,0.065
5GNSA_5Gchange,127,0.02,,0.069
5GNSA_4Gchange,137,0.021,39.0,0.049
5GNSA_4Gchange,211,0.022,31.0,0.054
5GNSA_4Gchange,243,0.019,35.0,0.054
5GNSA_4Gchange,269,0.017,30.0,0.054
5GNSA_4Gchange,301,0.021,33.0,0.05
5GNSA_5Gchange,321,0.056,,0.099
5GNSA_5Gchange,331,0.011,,0.064
5GNSA_5Gchange,398,0.013,,0.063
5GNSA_4Gchange,423,0.021,35.0,0.055
5GNSA_5Gchange,438,0.019,,0.063
5GNSA_5Gchange,451,0.021,,0.076
5GNSA_4Gchange,489,0.043,62.0,0.062
5GNSA_4Gchange,514,0.04,50.0,0.067
5GNSA_5Gchange,533,0.034,,0.074
5GNSA_5Gchange,548,0.013,,0.064
5GNSA_5Gchange,557,0.011,,0.065
5GNSA_5Gchange,569,0.015,,0.06
5GNSA_5Gchange,583,0.019,,0.062
5GNSA_5Gchange,596,0.019,,0.069
5GNSA_5Gchange,605,0.013,,0.06
5GNSA_5Gchange,617,0.02,,0.066
5GNSA_5Gchange,628,0.012,,0.06
5GNSA_4G,639,0.021,40.0,
4G_5GNSA,710,0.021,65.0,0.071
5GNSA_4G,779,0.02,30.0,
4G_5GNSA,913,0.02,54.0,0.061
5GNSA_5Gchange,948,0.013,,0.066
5GNSA_5Gchange,957,0.018,,0.066
5GNSA_5Gchange,968,0.013,,0.058
5GNSA_5Gchange,983,0.047,,0.091
5GNSA_4G,1001,0.024,42.0,
4G_4G,1048,0.021,38.0,
4G_4G,1056,0.03,40.0,
4G_4G,1115,0.026,38.0,
4G_4G,1161,0.027,40.0,
4G_4G,1258,0.029,42.0,
4G_4G,1286,0.027,45.0,
4G_4G,1301,0.023,32.0,
4G_4G,1319,0.024,43.0,
4G_4G,1379,0.022,30.0,
4G_4G,1394,0.02,30.0,
4G_4G,1444,0.022,36.0,
4G_4G,1475,0.033,42.0,
4G_4G,1547,0.032,43.0,
4G_4G,1554,0.025,43.0,
4G_4G,1563,0.028,45.0,
4G_4G,1588,0.025,40.0,
4G_4G,1705,0.019,33.0,
4G_4G,1719,0.02,36.0,
4G_4G,1904,0.025,42.0,
4G_4G,1938,0.02,30.0,
4G_4G,2104,0.032,42.0,
4G_4G,2117,0.023,34.0,
4G_4G,2128,0.02,33.0,
4G_4G,2212,0.022,33.0,
