TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,Event 5G-NR Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type,5G-NR RRC NR SCG Mobility Statistics Duration [sec],5G-NR RRC NR SCG Release Statistics[NR to LTE] Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec],LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-19 06:40:27.000000,-8.762400,4.179430,,,,,LTE,,,,,,,,,,,,,,,,459,Band 2,,,,,,,0.000,0.000
2022-12-19 06:40:28.000000,-8.762400,4.179430,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,,,459,Band 2,,,,,,,0.000,0.000
2022-12-19 06:40:29.000000,-8.762390,4.179430,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,0.000
2022-12-19 06:40:30.000000,-8.762380,4.179430,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,,,459,Band 2,,,,,,,0.000,0.000
2022-12-19 06:40:31.000000,-8.762370,4.179430,0.000000,0.000000,0.000000,0.000000,LTE,,,,,,,,,,,,,,,,459,Band 2,,,,,,,0.000,0.000
2022-12-19 06:40:32.000000,-8.762360,4.179430,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000
2022-12-19 06:40:33.000000,-8.762340,4.179430,0.000000,0.000000,0.000000,0.000000,LTE(3CA),,,,,,,,,,,,,,,,459,Band 2,,,,,0.002,0.086,0.000,0.000
2022-12-19 06:40:33.634931,-8.762334,4.179430,,,,,,RRC Setup Start,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19 06:40:33.635258,-8.762334,4.179430,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,
2022-12-19 06:40:33.635476,-8.762334,4.179430,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,
