TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event 5G-NR Events,5G-NR RRC NR MCG Mobility Statistics Intra-NR HandoverDuration [sec],5G-NR RRC NR MCG Mobility Statistics Intrafreq Handover Source to Target NR-ARFCN/PCI,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-19 06:40:27.000000,-8.762400,4.179430,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.000,0.000
2022-12-19 06:40:28.000000,-8.762400,4.179430,0.000000,0.000000,0.000000,0.000000,,,,,,,,,0.000,0.000
2022-12-19 06:40:29.000000,-8.762390,4.179430,0.000000,0.000000,0.000000,0.000000,5G-NR_SA,,,,337,,0.000,,0.000,0.000
2022-12-19 06:40:30.000000,-8.762380,4.179430,0.000000,0.000000,0.000000,0.000000,,,,,,,0.000,,0.000,0.000
2022-12-19 06:40:31.000000,-8.762370,4.179430,0.000000,0.000000,0.000000,0.000000,5G-NR_SA,,,,337,,,,0.000,0.000
2022-12-19 06:40:32.000000,-8.762360,4.179430,0.000000,0.000000,0.000000,0.000000,,,,,,,0.000,,0.000,0.000
2022-12-19 06:40:33.000000,-8.762340,4.179430,0.000000,0.000000,0.000000,0.000000,5G-NR_SA,,,,337,n41,0.007,0.022,0.000,0.000
2022-12-19 06:40:33.802220,-8.762332,4.179430,,,,,,RRC Setup Start			 ,,,,,,,,
2022-12-19 06:40:33.802266,-8.762332,4.179430,,,,,,PRACH: Msg1(RA),,,,,,,,
2022-12-19 06:40:33.802762,-8.762332,4.179430,,,,,,PRACH: Msg2(RAR),,,,,,,,
2022-12-19 06:40:33.802762,-8.762332,4.179430,,,,,,PRACH: Msg3(UE ID),,,,,,,,
2022-12-19 06:40:33.802762,-8.762332,4.179430,,,,,,PRACH: Msg4,,,,,,,,
2022-12-19 06:40:33.802762,-8.762332,4.179430,,,,,,PRACH: Msg4[Pass]			,,,,,,,,
2022-12-19 06:40:33.802859,-8.762332,4.179430,,,,,,PRACH: Msg5,,,,,,,,
2022-12-19 06:40:33.803133,-8.762332,4.179430,,,,,,RRC Setup Success			 ,,,,,,,,
2022-12-19 06:40:33.813004,-8.762332,4.179430,,,,,,MCG DRB Attempt,,,,,,,,
2022-12-19 06:40:33.813547,-8.762332,4.179430,,,,,,MCG DRB Success,,,,,,,,
2022-12-19 06:40:33.813581,-8.762332,4.179430,,,,,,Service Success,,,,,,,,
