TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,Event 5G-NR Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type,5G-NR RRC NR SCG Mobility Statistics Duration [sec],5G-NR RRC NR SCG Release Statistics[NR to LTE] Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec],LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-18 06:59:28.000000,-8.763220,4.179480,,,,,LTE,,,,,,,,,,,,,,,,52,Band 2,,,,,,,0.000,0.000
2022-12-18 06:59:29.000000,-8.763220,4.179480,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.000,0.170,0.028,0.062,0.001,0.004
2022-12-18 06:59:29.240369,-8.763220,4.179480,,,,,,RRC Setup Start,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.240795,-8.763220,4.179480,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.241105,-8.763220,4.179480,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.241117,-8.763220,4.179480,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.241454,-8.763220,4.179480,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.241468,-8.763220,4.179480,,,,,,Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.242581,-8.763220,4.179480,,,,,,RRC Setup Success,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.318423,-8.763220,4.179480,,,,,,CA Config Attempt,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.406204,-8.763220,4.179480,,,,,,CA Config Success,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.493502,-8.763220,4.179480,,,,,,eventB1_NR_r15,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.520080,-8.763220,4.179480,,,,,,Handover Attempt,NR SCG Addition Attempt	 ,52,52,Intraband,,,,,NR SCG Addition[LTE to NR],,,,,,,,,,,,,,,
2022-12-18 06:59:29.578202,-8.763220,4.179480,,,,,,Handover Success,NR SCG Addition Success	 ,,,,Intra-LTE-HO Success,Unknown eNB HO,0.018,,,,0.018,,,,,,,,,,,,,
2022-12-18 06:59:29.579163,-8.763220,4.179480,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.580548,-8.763220,4.179480,,,,,,,PRACH: Msg1(RA),,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.580892,-8.763220,4.179480,,,,,,PRACH: Msg2(RAR),,,,,,,,52,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.581072,-8.763220,4.179480,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.581520,-8.763220,4.179480,,,,,,Received RAR[True],,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.581567,-8.763220,4.179480,,,,,,PRACH: Msg4[Pass],,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.618318,-8.763220,4.179480,,,,,,,PRACH: Msg2(RAR),,,,,,,,,,,,0.072,,,,,,,,,,,
2022-12-18 06:59:29.618318,-8.763220,4.179480,,,,,,,PRACH: Msg3(UE ID),,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.618318,-8.763220,4.179480,,,,,,,PRACH: Msg4,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.618318,-8.763220,4.179480,,,,,,,PRACH: Msg4[Pass]			,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:29.618488,-8.763220,4.179480,,,,,,,PRACH: Msg5,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18 06:59:30.000000,-8.763220,4.179480,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.024,0.002,0.000,,0.000,0.002
2022-12-18 06:59:31.000000,-8.763220,4.179480,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.000,0.001,0.000,0.006,0.000,0.000
2022-12-18 06:59:32.000000,-8.763220,4.179480,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.039,0.005,,,0.000,0.002
2022-12-18 06:59:33.000000,-8.763220,4.179470,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.000,0.001,0.000,0.002,0.000,0.000
2022-12-18 06:59:34.000000,-8.763220,4.179470,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.436,0.933,0.001,16.392,0.004,20.901
2022-12-18 06:59:35.000000,-8.763220,4.179470,0.000000,0.000000,0.000000,0.000000,5G-NR_NSA,,,,,,,,,,,,,,,,52,Band 2,270,n77,0.438,3.237,0.004,57.139,0.000,56.658
