TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event 5G-NR Events,5G-NR RRC NR MCG Mobility Statistics Intra-NR HandoverDuration [sec],5G-NR RRC NR MCG Mobility Statistics Intrafreq Handover Source to Target NR-ARFCN/PCI,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-18 09:33:39.000000,-8.763760,4.189660,-87.637557,41.896635,6.349233,0.000000,,,,,,,,,,
2022-12-18 09:33:40.000000,-8.763760,4.189660,-87.637557,41.896635,5.798650,0.000000,5G-NR_SA,,,,665,,0.000,,0.000,0.000
2022-12-18 09:33:41.000000,-8.763760,4.189660,-87.637557,41.896635,5.304114,0.000000,5G-NR_SA,,,,665,,0.000,,0.000,0.000
2022-12-18 09:33:42.000000,-8.763760,4.189660,-87.637557,41.896635,5.148624,0.000000,,,,,,,,,0.000,0.000
2022-12-18 09:33:43.000000,-8.763760,4.189660,-87.637557,41.896635,4.866139,0.000000,5G-NR_SA,,,,665,,0.000,,0.000,0.000
2022-12-18 09:33:44.000000,-8.763760,4.189660,-87.637557,41.896635,4.700821,0.000000,5G-NR_SA,,,,665,,0.000,,0.000,0.000
2022-12-18 09:33:45.000000,-8.763760,4.189660,-87.637557,41.896635,4.768854,0.000000,5G-NR_SA,,,,665,n41,0.004,0.004,0.000,0.000
2022-12-18 09:33:45.889609,-8.763760,4.189660,,,,,,RRC Setup Start			 ,,,,,,,,
2022-12-18 09:33:45.889645,-8.763760,4.189660,,,,,,PRACH: Msg1(RA),,,,,,,,
2022-12-18 09:33:45.890037,-8.763760,4.189660,,,,,,Received RAR[Fail]		,,,,,,,,
2022-12-18 09:33:45.890334,-8.763760,4.189660,,,,,,Received RAR[Fail]		,,,,,,,,
2022-12-18 09:33:45.991298,-8.763760,4.189660,,,,,,PRACH: Msg2(RAR),,,,,,,,
2022-12-18 09:33:45.991298,-8.763760,4.189660,,,,,,PRACH: Msg3(UE ID),,,,,,,,
2022-12-18 09:33:45.991298,-8.763760,4.189660,,,,,,PRACH: Msg4,,,,,,,,
2022-12-18 09:33:45.991298,-8.763760,4.189660,,,,,,PRACH: Msg4[Pass]			,,,,,,,,
2022-12-18 09:33:45.991383,-8.763760,4.189660,,,,,,PRACH: Msg5,,,,,,,,
2022-12-18 09:33:45.991542,-8.763760,4.189660,,,,,,RRC Setup Success			 ,,,,,,,,
2022-12-18 09:33:46.000000,-8.763760,4.189660,-87.637557,41.896635,4.661361,0.000000,5G-NR_SA(2CA),,,,665,n41,11.904,0.377,0.005,0.009
2022-12-18 09:33:46.062810,-8.763760,4.189660,,,,,,MCG DRB Attempt,,,,,,,,
2022-12-18 09:33:46.129357,-8.763760,4.189660,,,,,,MCG DRB Success,,,,,,,,
2022-12-18 09:33:46.129405,-8.763760,4.189660,,,,,,Service Success,,,,,,,,
2022-12-18 09:33:46.520495,-8.763760,4.189660,,,,,,eventA1,,,,,,,,
2022-12-18 09:33:47.000000,-8.763760,4.189660,-87.637558,41.896635,4.413008,0.000000,5G-NR_SA,,,,665,n41,149.340,1.435,85.977,1.090
2022-12-18 09:33:48.000000,-8.763760,4.189660,-87.637558,41.896635,4.209367,0.000000,5G-NR_SA(2CA),,,,665,n41,330.171,0.305,212.525,1.218
2022-12-18 09:33:49.000000,-8.763760,4.189660,-87.637558,41.896635,4.173191,0.000000,5G-NR_SA(2CA),,,,665,n41,797.724,0.410,441.255,1.191
2022-12-18 09:33:50.000000,-8.763760,4.189660,-87.637558,41.896635,4.084002,0.000000,5G-NR_SA(2CA),,,,665,n41,817.692,0.486,656.285,1.252
2022-12-18 09:33:51.000000,-8.763760,4.189660,-87.637558,41.896636,4.120800,0.000000,5G-NR_SA(2CA),,,,665,n41,802.841,0.505,660.184,1.268
2022-12-18 09:33:52.000000,-8.763760,4.189660,-87.637558,41.896636,4.266261,0.000000,5G-NR_SA(2CA),,,,665,n41,892.134,0.527,721.512,1.261
2022-12-18 09:33:53.000000,-8.763760,4.189660,-87.637558,41.896636,4.475522,0.000000,5G-NR_SA(2CA),,,,665,n41,915.506,0.472,755.875,1.243
2022-12-18 09:33:54.000000,-8.763760,4.189660,-87.637558,41.896636,4.789026,0.000000,5G-NR_SA(2CA),,,,665,n41,888.364,0.650,757.091,1.289
