TIME_STAMP,Lon,Lat,API GPS Info GPS_Lon,API GPS Info GPS_Lat,API GPS Info Estimated accuracy,API GPS Info Speed,Event Technology,Event LTE Events,Event 5G-NR Events,HO Statistics Intra-LTE HO Source PCI,HO Statistics Intra-LTE HO Target PCI,HO Statistics Intra-LTE HO Band Type,HO Statistics Intra-LTE HO Result,HO Statistics Intra-LTE HO HO Type,HO Statistics Intra-LTE HO Duration [sec],Random Access Procedure Latency KPI Handover Latency(ms) (Chipset-Based),5G-NR RRC NR SCG Mobility Statistics NR SCG Mobility Type,5G-NR RRC ENDC MeNB PCell Change MeNB Pcell Change Type,5G-NR RRC NR SCG Mobility Statistics Duration [sec],5G-NR RRC NR SCG Release Statistics[NR to LTE] Duration [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[LTE to NR] [sec],Qualcomm 5G-NR MAC RACH Info Latency KPI Handover Latency[NR to NR] [sec],LTE KPI PCell Serving PCI,LTE KPI PCell Serving Band,5G KPI PCell RF Serving PCI,5G KPI PCell RF Band,5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],LTE KPI PDSCH Throughput[Mbps],LTE KPI PUSCH Throughput[Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-12-16 09:00:53.000000,-9.324310,4.497270,,,,,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,,,,
2022-12-16 09:00:54.000000,-9.324310,4.497270,-93.243111,44.972659,4.220562,12.280000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,,0.012,0.000,0.000
2022-12-16 09:00:55.000000,-9.324330,4.497260,-93.243263,44.972646,4.247642,12.100000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,,,0.000,0.000
2022-12-16 09:00:56.000000,-9.324340,4.497260,-93.243418,44.972631,4.362434,11.910000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.004,0.006,0.000,0.000
2022-12-16 09:00:57.000000,-9.324360,4.497260,-93.243600,44.972613,3.817454,12.030000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.008,36.254,0.004,19.273
2022-12-16 09:00:58.000000,-9.324380,4.497260,-93.243777,44.972590,3.805598,12.290000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.004,52.176,0.000,47.488
2022-12-16 09:00:59.000000,-9.324390,4.497250,-93.243917,44.972534,3.805590,11.940000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.004,54.898,0.000,50.151
2022-12-16 09:01:00.000000,-9.324410,4.497250,-93.244061,44.972502,3.804933,11.660000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.004,56.936,0.001,52.154
2022-12-16 09:01:01.000000,-9.324420,4.497250,-93.244201,44.972473,3.803921,11.290000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.006,55.677,0.000,51.016
2022-12-16 09:01:02.000000,-9.324430,4.497240,-93.244337,44.972445,3.803208,10.930000,LTE,,,,,,,,,,,,,,,,297,Band 66,,,,,0.004,55.260,0.000,52.101
